crop,soil_type,nitrogen_min,nitrogen_max,phosphorus_min,phosphorus_max,potassium_min,potassium_max,ph_min,ph_max,temp_min,temp_max,humidity_min,humidity_max,rain_min,rain_max,moisture_min,moisture_max,season
Solanum Suratt.,sandy_loam,30.0,40.0,20.0,30.0,20.0,30.0,6.5,8.0,25.0,40.0,40.0,60.0,400.0,800.0,30.0,50.0,kharif
Acorus Calamus,clay_loam,40.0,50.0,30.0,40.0,30.0,40.0,5.5,7.0,20.0,30.0,80.0,90.0,1500.0,2500.0,80.0,90.0,kharif
Plectranthus Am,loamy,40.0,50.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,60.0,70.0,800.0,1200.0,50.0,60.0,year_round
Vitex Negundo,sandy_loam,20.0,30.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,35.0,50.0,70.0,600.0,1200.0,40.0,60.0,year_round
Aegle Marmelos,sandy_loam,50.0,60.0,30.0,40.0,30.0,40.0,6.0,8.0,25.0,40.0,40.0,60.0,500.0,800.0,30.0,40.0,long_term
Ferula Assa-foe,sandy_loam,20.0,30.0,10.0,20.0,20.0,30.0,6.5,8.0,15.0,30.0,30.0,50.0,200.0,500.0,20.0,40.0,hills/winter
Nardostachys,loamy,30.0,40.0,20.0,30.0,30.0,40.0,6.0,7.0,10.0,20.0,60.0,80.0,1000.0,1500.0,60.0,80.0,hills
Picrorhiza Kur.,loamy,20.0,30.0,20.0,30.0,20.0,30.0,6.0,7.0,10.0,20.0,60.0,80.0,1000.0,1500.0,60.0,80.0,hills
Swertia Chiray.,sandy_loam,20.0,30.0,20.0,30.0,20.0,30.0,6.0,7.5,15.0,25.0,60.0,80.0,800.0,1200.0,50.0,70.0,hills
Tribulus Terre.,sandy,10.0,20.0,10.0,20.0,10.0,20.0,6.5,8.5,25.0,45.0,30.0,50.0,200.0,600.0,20.0,40.0,kharif
Pedalium Murex,sandy,10.0,20.0,10.0,20.0,10.0,20.0,6.5,8.5,25.0,40.0,30.0,50.0,300.0,600.0,20.0,40.0,kharif
Mucuna Pruriens,sandy_loam,10.0,20.0,20.0,30.0,10.0,20.0,5.5,7.0,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,kharif
Cissus Repens,sandy_loam,20.0,30.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,35.0,50.0,70.0,800.0,1200.0,40.0,60.0,year_round
Tylophora Ind.,sandy_loam,20.0,30.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,35.0,60.0,80.0,800.0,1500.0,50.0,70.0,year_round
Carica Papaya,sandy_loam,200.0,250.0,200.0,250.0,200.0,250.0,6.0,6.5,25.0,30.0,60.0,70.0,1000.0,1500.0,50.0,60.0,year_round
Psidium Guaj.,loamy,100.0,150.0,50.0,100.0,100.0,150.0,4.5,8.2,20.0,30.0,50.0,70.0,1000.0,1500.0,40.0,50.0,year_round
Punica Grana.,sandy_loam,100.0,150.0,50.0,75.0,50.0,75.0,6.5,8.0,25.0,35.0,40.0,50.0,500.0,800.0,30.0,40.0,year_round
Citrus Limon,loamy,150.0,200.0,50.0,70.0,100.0,150.0,5.5,7.0,20.0,30.0,50.0,60.0,700.0,1200.0,40.0,50.0,year_round
Citrus Reticu.,loamy,150.0,200.0,50.0,70.0,100.0,150.0,6.0,7.5,15.0,30.0,50.0,60.0,800.0,1200.0,40.0,50.0,hills/winter
Vitis Vinifera,loamy,150.0,200.0,100.0,150.0,150.0,200.0,6.5,7.5,15.0,40.0,40.0,60.0,500.0,900.0,40.0,50.0,summer
Ananas Comos.,red_laterite,150.0,200.0,50.0,70.0,150.0,200.0,5.0,6.0,22.0,32.0,70.0,80.0,1500.0,2500.0,60.0,70.0,year_round
Musa Paradisi.,clay_loam,200.0,250.0,40.0,50.0,250.0,300.0,6.5,7.5,25.0,35.0,75.0,85.0,1500.0,2500.0,70.0,80.0,year_round
Musa Sapient.,clay_loam,200.0,250.0,40.0,50.0,250.0,300.0,6.5,7.5,25.0,35.0,75.0,85.0,1500.0,2500.0,70.0,80.0,year_round
Musa Caven.,clay_loam,200.0,250.0,40.0,50.0,250.0,300.0,6.5,7.5,25.0,35.0,75.0,85.0,1500.0,2500.0,70.0,80.0,year_round
Mangifera In.,red_laterite,75.0,100.0,20.0,30.0,75.0,100.0,5.5,7.5,24.0,30.0,50.0,80.0,700.0,2500.0,40.0,50.0,summer
Mangifera In.,red_laterite,75.0,100.0,20.0,30.0,75.0,100.0,5.5,7.5,24.0,30.0,50.0,80.0,700.0,2500.0,40.0,50.0,summer
Mangifera In.,red_laterite,75.0,100.0,20.0,30.0,75.0,100.0,5.5,7.5,24.0,30.0,50.0,80.0,700.0,2500.0,40.0,50.0,summer
Achras Zapota,sandy_loam,150.0,200.0,50.0,100.0,100.0,150.0,6.0,8.0,25.0,35.0,50.0,70.0,1000.0,1500.0,40.0,50.0,year_round
Ziziphus Maur.,sandy_loam,30.0,50.0,20.0,30.0,30.0,40.0,6.0,8.0,25.0,45.0,30.0,50.0,300.0,600.0,20.0,30.0,winter
Feronia Limon.,sandy,30.0,50.0,20.0,30.0,30.0,40.0,6.0,7.5,25.0,40.0,40.0,60.0,500.0,1000.0,30.0,40.0,summer
Aegle Marmel.,sandy_loam,50.0,60.0,30.0,40.0,30.0,40.0,6.0,8.0,25.0,40.0,40.0,60.0,500.0,800.0,30.0,40.0,summer
Syzygium Cum.,loamy,80.0,100.0,40.0,50.0,40.0,50.0,6.0,7.5,25.0,35.0,50.0,70.0,800.0,1500.0,40.0,50.0,summer
Annona Squa.,sandy,50.0,70.0,30.0,40.0,30.0,40.0,6.0,8.0,25.0,35.0,40.0,60.0,500.0,800.0,30.0,40.0,late_sum
Annona Retic.,sandy,50.0,70.0,30.0,40.0,30.0,40.0,6.0,8.0,25.0,35.0,40.0,60.0,500.0,800.0,30.0,40.0,summer
Annona Muric.,loamy,60.0,80.0,40.0,50.0,40.0,50.0,6.0,7.5,25.0,30.0,60.0,80.0,1500.0,2500.0,60.0,70.0,year_round
Ficus Carica,clay_loam,80.0,100.0,40.0,50.0,60.0,80.0,6.0,7.0,25.0,35.0,40.0,50.0,500.0,700.0,40.0,50.0,summer
Morus Alba,loamy,80.0,100.0,40.0,50.0,80.0,100.0,6.0,7.0,20.0,30.0,60.0,80.0,800.0,1200.0,50.0,60.0,year_round
Morus Nigra,loamy,80.0,100.0,40.0,50.0,80.0,100.0,6.0,7.0,20.0,30.0,60.0,80.0,800.0,1200.0,50.0,60.0,year_round
Fragaria Ves.,sandy_loam,60.0,80.0,40.0,60.0,60.0,80.0,5.5,6.5,15.0,25.0,60.0,80.0,800.0,1200.0,60.0,70.0,hills
Pyrus Communis,loamy,100.0,150.0,50.0,75.0,100.0,150.0,6.0,7.0,15.0,25.0,60.0,70.0,1000.0,1200.0,50.0,60.0,hills
Prunus Per.,loamy,80.0,100.0,40.0,50.0,80.0,100.0,6.0,6.5,15.0,28.0,50.0,60.0,800.0,1200.0,50.0,60.0,hills
Prunus Dome.,sandy_loam,80.0,100.0,40.0,50.0,80.0,100.0,5.5,6.5,15.0,25.0,50.0,60.0,800.0,1200.0,50.0,60.0,hills
Malus Domes.,clay_loam,100.0,150.0,50.0,75.0,100.0,150.0,5.8,6.5,15.0,24.0,60.0,70.0,1000.0,1500.0,50.0,60.0,hills
Juglans Regia,loamy,50.0,70.0,30.0,40.0,40.0,50.0,6.0,7.0,15.0,25.0,60.0,70.0,1000.0,1500.0,50.0,60.0,hills
Castanea Sat.,loamy,60.0,80.0,40.0,50.0,60.0,80.0,5.5,6.5,15.0,25.0,60.0,70.0,1000.0,1500.0,50.0,60.0,hills
Corylus Avel.,loamy,50.0,70.0,30.0,40.0,50.0,70.0,6.0,7.0,15.0,25.0,60.0,70.0,800.0,1200.0,50.0,60.0,hills
Pistacia Vera,sandy_loam,40.0,60.0,30.0,40.0,40.0,60.0,7.0,8.0,20.0,35.0,30.0,50.0,300.0,600.0,30.0,40.0,hills/dry
Prunus Dulcis,loamy,60.0,80.0,40.0,50.0,60.0,80.0,6.0,7.0,15.0,30.0,40.0,60.0,500.0,800.0,40.0,50.0,hills/dry
Anacardium O.,red_laterite,250.0,500.0,125.0,250.0,125.0,250.0,5.0,6.5,25.0,35.0,60.0,70.0,1000.0,2000.0,40.0,50.0,year_round
Artocarpus H.,loamy,100.0,150.0,50.0,70.0,50.0,100.0,6.0,7.5,25.0,35.0,60.0,80.0,1500.0,2000.0,50.0,60.0,summer
Artocarpus C.,clay_loam,80.0,100.0,40.0,50.0,80.0,100.0,6.0,7.5,25.0,35.0,70.0,80.0,1500.0,2500.0,60.0,70.0,summer
Averrhoa Car.,loamy,50.0,70.0,30.0,40.0,40.0,50.0,5.5,6.5,20.0,30.0,60.0,80.0,1000.0,2000.0,50.0,60.0,year_round
Averrhoa Bil.,clay_loam,40.0,60.0,20.0,30.0,30.0,40.0,5.5,6.5,25.0,35.0,70.0,80.0,1500.0,2500.0,60.0,70.0,year_round
Garcinia Ind.,laterite,60.0,80.0,40.0,50.0,60.0,80.0,5.5,6.5,25.0,35.0,70.0,90.0,2000.0,3000.0,60.0,80.0,summer
Garcinia Cam.,laterite,60.0,80.0,40.0,50.0,60.0,80.0,5.5,6.5,25.0,35.0,70.0,90.0,2000.0,3000.0,60.0,80.0,summer
Garcinia Man.,red_laterite,80.0,100.0,40.0,60.0,80.0,100.0,5.5,6.5,25.0,35.0,80.0,90.0,2000.0,3000.0,70.0,80.0,summer
Nephelium L.,loamy,80.0,100.0,40.0,60.0,80.0,100.0,5.5,6.5,25.0,32.0,80.0,90.0,2000.0,3000.0,70.0,80.0,summer
Litchi Chin.,loamy,100.0,120.0,50.0,60.0,100.0,120.0,6.0,7.0,15.0,30.0,60.0,80.0,1200.0,1500.0,50.0,60.0,summer
Dimocarpus L.,sandy_loam,80.0,100.0,40.0,60.0,80.0,100.0,5.5,6.5,20.0,30.0,70.0,80.0,1500.0,2000.0,60.0,70.0,summer
Durio Zibeth.,clay_loam,100.0,150.0,60.0,80.0,100.0,150.0,5.5,6.5,24.0,30.0,80.0,90.0,2000.0,3000.0,70.0,80.0,summer
Diospyros Ka.,loamy,60.0,80.0,30.0,40.0,60.0,80.0,6.0,7.0,15.0,25.0,60.0,70.0,1000.0,1500.0,50.0,60.0,hills/winter
Eriobotrya J.,loamy,60.0,80.0,30.0,40.0,60.0,80.0,6.0,7.0,15.0,25.0,60.0,70.0,800.0,1200.0,50.0,60.0,hills/winter
Fortunella,sandy_loam,80.0,100.0,40.0,50.0,80.0,100.0,6.0,7.0,15.0,30.0,50.0,70.0,800.0,1200.0,40.0,50.0,winter
Citrus Maxima,loamy,100.0,120.0,50.0,60.0,100.0,120.0,6.0,7.0,20.0,30.0,60.0,80.0,1000.0,1500.0,50.0,60.0,winter
Solanum Mel.,loamy,100.0,120.0,50.0,60.0,50.0,60.0,5.5,6.8,25.0,32.0,60.0,70.0,500.0,700.0,50.0,60.0,kharif/rabi
Solanum Mel.,loamy,100.0,120.0,50.0,60.0,50.0,60.0,5.5,6.8,25.0,32.0,60.0,70.0,500.0,700.0,50.0,60.0,kharif/rabi
Lycopersicon,loamy,100.0,150.0,60.0,80.0,80.0,100.0,6.0,7.0,21.0,28.0,60.0,70.0,600.0,800.0,50.0,60.0,year_round
Lycopersicon,loamy,100.0,150.0,60.0,80.0,80.0,100.0,6.0,7.0,21.0,28.0,60.0,70.0,600.0,800.0,50.0,60.0,year_round
Capsicum Ann.,black,120.0,150.0,60.0,80.0,60.0,80.0,6.0,7.0,20.0,30.0,50.0,65.0,600.0,800.0,40.0,50.0,kharif/rabi
Capsicum Ann.,black,120.0,150.0,60.0,80.0,60.0,80.0,6.0,7.0,20.0,30.0,50.0,65.0,600.0,800.0,40.0,50.0,kharif/rabi
Abelmoschus,loamy,80.0,100.0,40.0,60.0,40.0,60.0,6.0,6.8,22.0,35.0,60.0,70.0,500.0,700.0,50.0,60.0,kharif/zaid
Allium Cepa,sandy_loam,80.0,100.0,40.0,50.0,50.0,60.0,6.5,7.0,15.0,25.0,50.0,70.0,350.0,500.0,40.0,50.0,rabi
Allium Cepa,sandy_loam,80.0,100.0,40.0,50.0,50.0,60.0,6.5,7.0,15.0,25.0,50.0,70.0,350.0,500.0,40.0,50.0,rabi
Allium Sativ.,sandy_loam,80.0,100.0,40.0,50.0,40.0,50.0,6.0,7.0,15.0,25.0,50.0,60.0,400.0,600.0,45.0,55.0,rabi
Brassica O.C.,clay_loam,120.0,150.0,60.0,80.0,60.0,80.0,6.0,6.5,15.0,20.0,60.0,80.0,400.0,600.0,55.0,65.0,rabi
Brassica O.C.,clay_loam,120.0,150.0,60.0,80.0,60.0,80.0,6.0,6.5,15.0,20.0,60.0,80.0,400.0,600.0,55.0,65.0,rabi
Brassica O.B.,clay_loam,120.0,150.0,60.0,80.0,60.0,80.0,5.5,6.6,15.0,20.0,60.0,80.0,400.0,600.0,55.0,65.0,rabi
Daucus Carota,sandy_loam,80.0,100.0,40.0,60.0,80.0,100.0,5.5,7.0,15.0,20.0,50.0,70.0,400.0,600.0,50.0,60.0,rabi
Beta Vulgaris,loamy,80.0,100.0,50.0,70.0,80.0,100.0,6.0,7.5,15.0,22.0,50.0,70.0,400.0,600.0,50.0,60.0,rabi
Raphanus Sat.,sandy_loam,60.0,80.0,40.0,50.0,40.0,50.0,5.5,6.8,15.0,25.0,50.0,70.0,400.0,500.0,50.0,60.0,rabi
Raphanus Sat.,sandy_loam,60.0,80.0,40.0,50.0,40.0,50.0,5.5,6.8,15.0,25.0,50.0,70.0,400.0,500.0,50.0,60.0,rabi
Brassica Rapa,clay,80.0,100.0,50.0,60.0,50.0,60.0,6.0,7.0,15.0,25.0,60.0,70.0,500.0,700.0,50.0,60.0,rabi
Solanum Tuber,sandy_loam,120.0,150.0,80.0,100.0,100.0,120.0,5.0,6.5,15.0,25.0,60.0,80.0,500.0,700.0,55.0,65.0,rabi
Ipomoea Batat,sandy_loam,60.0,80.0,40.0,60.0,80.0,100.0,5.5,6.5,21.0,27.0,60.0,70.0,700.0,1000.0,50.0,60.0,kharif
Manihot Escu.,sandy_loam,75.0,90.0,40.0,50.0,100.0,120.0,5.5,6.5,25.0,30.0,60.0,80.0,1000.0,1500.0,50.0,60.0,year_round
Amorphophal.,loamy,80.0,100.0,60.0,80.0,100.0,120.0,5.5,7.0,25.0,30.0,70.0,80.0,1000.0,1500.0,60.0,70.0,kharif
Colocasia Esc,clay_loam,80.0,100.0,40.0,60.0,80.0,100.0,5.5,7.0,25.0,30.0,70.0,80.0,1000.0,1500.0,70.0,90.0,kharif
Dioscorea Al.,loamy,80.0,100.0,60.0,80.0,100.0,120.0,5.5,7.0,25.0,30.0,70.0,80.0,1000.0,1500.0,60.0,70.0,kharif
Dioscorea Es.,sandy_loam,60.0,80.0,40.0,60.0,80.0,100.0,5.5,6.5,25.0,32.0,60.0,70.0,800.0,1200.0,50.0,60.0,kharif
Maranta Arun.,sandy_loam,40.0,50.0,30.0,40.0,60.0,80.0,5.5,6.5,25.0,30.0,70.0,80.0,1500.0,2000.0,60.0,70.0,kharif
Coleus Rotun.,sandy,40.0,60.0,40.0,50.0,60.0,80.0,6.0,7.0,25.0,35.0,60.0,70.0,800.0,1000.0,50.0,60.0,kharif
Sechium Edule,loamy,80.0,100.0,40.0,60.0,60.0,80.0,5.5,6.5,15.0,25.0,70.0,80.0,1000.0,1500.0,60.0,70.0,hills
Luffa Acutan.,loamy,80.0,100.0,40.0,50.0,40.0,50.0,6.5,7.0,25.0,35.0,60.0,70.0,500.0,700.0,50.0,60.0,kharif/zaid
Luffa Cylind.,loamy,80.0,100.0,40.0,50.0,40.0,50.0,6.5,7.0,25.0,35.0,60.0,70.0,500.0,700.0,50.0,60.0,kharif/zaid
Momordica C.,sandy_loam,80.0,100.0,40.0,60.0,40.0,60.0,6.0,7.0,25.0,35.0,60.0,70.0,500.0,700.0,50.0,60.0,kharif/zaid
Momordica D.,sandy_loam,60.0,80.0,30.0,40.0,40.0,60.0,6.0,7.0,25.0,35.0,60.0,80.0,800.0,1200.0,50.0,60.0,kharif
Trichosanthe,sandy_loam,80.0,100.0,40.0,50.0,40.0,50.0,6.5,7.5,25.0,35.0,60.0,70.0,500.0,700.0,50.0,60.0,kharif/zaid
Trichosanthe,sandy_loam,80.0,100.0,40.0,60.0,40.0,60.0,6.0,7.0,25.0,35.0,60.0,80.0,1000.0,1500.0,50.0,60.0,sum/rainy
Coccinia Gra.,loamy,60.0,80.0,30.0,40.0,40.0,60.0,6.0,7.0,25.0,35.0,60.0,80.0,600.0,1000.0,50.0,60.0,year_round
Cucurbita Max,sandy_loam,80.0,100.0,40.0,60.0,40.0,60.0,6.0,7.0,25.0,30.0,50.0,60.0,500.0,700.0,50.0,60.0,kharif/zaid
Benincasa His,sandy_loam,80.0,100.0,40.0,50.0,40.0,50.0,6.0,7.0,25.0,35.0,50.0,60.0,500.0,700.0,50.0,60.0,kharif/zaid
Lagenaria Si.,sandy_loam,80.0,100.0,40.0,60.0,40.0,60.0,6.5,7.5,25.0,35.0,60.0,70.0,500.0,700.0,50.0,60.0,kharif/zaid
Cucumis Sat.,sandy_loam,60.0,80.0,40.0,50.0,40.0,50.0,6.0,7.0,20.0,30.0,60.0,70.0,400.0,600.0,50.0,60.0,kharif/zaid
Cucumis Melo,sandy_loam,60.0,80.0,40.0,50.0,40.0,50.0,6.0,7.0,25.0,35.0,40.0,50.0,300.0,500.0,40.0,50.0,zaid/sum
Citrullus La.,sandy_loam,80.0,100.0,40.0,60.0,40.0,60.0,6.0,7.0,25.0,35.0,40.0,50.0,400.0,600.0,40.0,50.0,zaid/sum
Canavalia Gl.,sandy_loam,10.0,20.0,30.0,40.0,20.0,30.0,5.5,7.5,25.0,35.0,50.0,60.0,600.0,1000.0,40.0,50.0,kharif
Canavalia En.,clay_loam,20.0,30.0,40.0,50.0,20.0,30.0,5.5,7.5,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,50.0,kharif
Psophocarpus,loamy,20.0,30.0,40.0,50.0,30.0,40.0,5.5,6.5,25.0,30.0,70.0,80.0,1500.0,2000.0,60.0,70.0,kharif
Vigna Ung. S.,sandy,20.0,30.0,40.0,50.0,20.0,30.0,5.5,7.5,25.0,35.0,60.0,70.0,600.0,1000.0,50.0,60.0,kharif/zaid
Spinacia Ole.,loamy,80.0,100.0,40.0,60.0,40.0,60.0,6.0,7.0,15.0,20.0,60.0,80.0,400.0,500.0,60.0,70.0,rabi
Amaranthus V.,sandy_loam,60.0,80.0,30.0,40.0,30.0,40.0,5.5,7.5,25.0,35.0,50.0,70.0,400.0,600.0,50.0,60.0,year_round
Amaranthus T.,sandy_loam,60.0,80.0,30.0,40.0,30.0,40.0,5.5,7.5,25.0,35.0,50.0,70.0,400.0,600.0,50.0,60.0,year_round
Amaranthus D.,sandy_loam,60.0,80.0,30.0,40.0,30.0,40.0,5.5,7.5,25.0,35.0,50.0,70.0,400.0,600.0,50.0,60.0,year_round
Amaranthus H.,sandy_loam,80.0,100.0,40.0,50.0,40.0,50.0,5.5,7.5,25.0,35.0,50.0,70.0,400.0,600.0,50.0,60.0,year_round
Basella Alba,loamy,60.0,80.0,30.0,40.0,40.0,50.0,6.0,7.0,25.0,35.0,70.0,80.0,1000.0,1500.0,60.0,70.0,kharif/zaid
Alternanthera,clay_loam,60.0,80.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,60.0,80.0,600.0,1000.0,60.0,80.0,year_round
Hibiscus Sab.,sandy_loam,40.0,60.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,50.0,kharif
Trigonella F.,clay,20.0,30.0,40.0,50.0,20.0,30.0,6.0,7.0,15.0,25.0,50.0,60.0,300.0,400.0,40.0,50.0,rabi
Coriandrum S.,loamy,30.0,40.0,30.0,40.0,20.0,30.0,6.0,7.0,15.0,25.0,50.0,60.0,400.0,500.0,40.0,50.0,rabi
Mentha Arvens,loamy,80.0,100.0,40.0,50.0,40.0,50.0,6.0,7.0,20.0,30.0,60.0,80.0,800.0,1000.0,60.0,70.0,year_round
Sesbania Gran,loamy,20.0,30.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,60.0,70.0,800.0,1500.0,50.0,60.0,year_round
Moringa Olei.,sandy,50.0,80.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,50.0,70.0,500.0,1000.0,40.0,50.0,year_round
Oryza Sativa,clay,120.0,150.0,40.0,60.0,40.0,60.0,5.5,6.5,25.0,35.0,60.0,80.0,1000.0,1500.0,80.0,100.0,kharif
Oryza Sativa,clay,120.0,150.0,40.0,60.0,40.0,60.0,5.5,6.5,25.0,35.0,60.0,80.0,1000.0,1500.0,80.0,100.0,rabi
Triticum Aes.,clay_loam,100.0,120.0,40.0,60.0,40.0,60.0,6.0,7.0,15.0,25.0,40.0,60.0,500.0,700.0,40.0,50.0,rabi
Zea Mays,loamy,120.0,150.0,60.0,80.0,40.0,60.0,5.8,7.0,21.0,27.0,55.0,75.0,500.0,800.0,50.0,60.0,kharif/rabi
Sorghum Bico.,black,60.0,90.0,30.0,40.0,30.0,40.0,6.0,8.5,25.0,32.0,40.0,60.0,400.0,600.0,30.0,40.0,kharif/rabi
Pennisetum G.,sandy,40.0,60.0,20.0,30.0,20.0,30.0,6.5,8.0,25.0,35.0,40.0,50.0,400.0,600.0,30.0,40.0,kharif
Eleusine Cor.,red_laterite,40.0,60.0,20.0,30.0,20.0,30.0,5.0,8.2,20.0,30.0,50.0,70.0,500.0,700.0,40.0,50.0,kharif/rabi
Setaria Ital.,sandy_loam,40.0,50.0,20.0,30.0,15.0,20.0,5.5,7.5,25.0,30.0,40.0,60.0,300.0,500.0,30.0,40.0,kharif
Paspalum Scro,sandy_loam,20.0,40.0,15.0,20.0,15.0,20.0,5.5,7.0,25.0,30.0,40.0,50.0,400.0,500.0,30.0,40.0,kharif
Echinochloa,sandy_loam,30.0,40.0,15.0,20.0,15.0,20.0,5.5,7.5,20.0,25.0,50.0,60.0,400.0,600.0,35.0,45.0,kharif
Panicum Sum.,sandy_loam,20.0,30.0,15.0,20.0,15.0,20.0,5.0,7.5,25.0,35.0,40.0,50.0,300.0,400.0,30.0,40.0,kharif
Saccharum Of.,clay_loam,250.0,300.0,75.0,100.0,100.0,150.0,6.5,7.5,27.0,38.0,70.0,85.0,1500.0,2500.0,60.0,70.0,annual
Gossypium B.,black,80.0,120.0,40.0,60.0,40.0,60.0,5.8,8.0,21.0,30.0,50.0,70.0,500.0,700.0,40.0,50.0,kharif
Corchorus O.,clay_loam,60.0,80.0,30.0,40.0,30.0,40.0,6.0,7.5,24.0,35.0,70.0,90.0,1500.0,2000.0,70.0,80.0,kharif
Helianthus A.,black,60.0,80.0,40.0,60.0,40.0,60.0,6.5,8.0,20.0,30.0,50.0,60.0,500.0,700.0,40.0,50.0,kharif/rabi
Carthamus T.,black,40.0,60.0,20.0,30.0,20.0,30.0,6.5,7.5,15.0,25.0,40.0,50.0,300.0,450.0,30.0,40.0,rabi
Sesamum Ind.,sandy_loam,30.0,40.0,20.0,30.0,20.0,30.0,5.5,8.0,25.0,35.0,50.0,60.0,400.0,600.0,30.0,40.0,kharif/zaid
Ricinus Com.,loamy,40.0,60.0,30.0,40.0,20.0,30.0,5.0,6.5,20.0,30.0,40.0,60.0,500.0,700.0,40.0,50.0,kharif
Linum Usita.,clay_loam,40.0,50.0,20.0,30.0,20.0,30.0,5.0,7.0,15.0,25.0,40.0,50.0,450.0,600.0,35.0,45.0,rabi
Brassica Jun.,sandy_loam,60.0,80.0,30.0,40.0,30.0,40.0,6.0,7.5,15.0,25.0,40.0,60.0,300.0,450.0,30.0,40.0,rabi
Arachis Hyp.,sandy_loam,20.0,30.0,40.0,60.0,60.0,80.0,6.0,6.5,25.0,30.0,50.0,70.0,500.0,700.0,40.0,50.0,kharif/rabi
Glycine Max,loamy,20.0,30.0,60.0,80.0,40.0,60.0,6.0,6.5,20.0,30.0,50.0,70.0,600.0,800.0,45.0,55.0,kharif
Cajanus Cajan,loamy,20.0,30.0,40.0,50.0,20.0,30.0,6.0,7.5,20.0,30.0,50.0,60.0,600.0,800.0,40.0,50.0,kharif
Vigna Radia.,loamy,15.0,20.0,30.0,40.0,15.0,20.0,6.5,7.5,25.0,35.0,50.0,60.0,400.0,600.0,35.0,45.0,kharif/zaid
Vigna Mungo,black,20.0,25.0,40.0,50.0,20.0,30.0,5.5,7.5,25.0,35.0,60.0,70.0,400.0,600.0,30.0,40.0,kharif/rabi
Cicer Ariet.,black,15.0,20.0,30.0,40.0,15.0,20.0,6.0,7.0,15.0,25.0,40.0,50.0,300.0,450.0,30.0,40.0,rabi
Vigna Ungui.,sandy_loam,15.0,20.0,30.0,40.0,15.0,20.0,5.5,6.5,20.0,30.0,50.0,60.0,400.0,600.0,40.0,50.0,kharif/zaid
Macrotyloma,sandy_loam,10.0,15.0,20.0,30.0,10.0,15.0,5.0,7.5,25.0,30.0,40.0,50.0,300.0,400.0,30.0,40.0,kharif/rabi
Lablab Purp.,clay_loam,20.0,30.0,50.0,60.0,40.0,50.0,6.0,7.0,20.0,30.0,60.0,70.0,600.0,900.0,50.0,60.0,kharif/rabi
Cyamopsis T.,sandy_loam,20.0,30.0,40.0,50.0,20.0,30.0,7.0,8.0,25.0,35.0,40.0,50.0,300.0,400.0,30.0,40.0,kharif
Phaseolus V.,loamy,40.0,50.0,60.0,80.0,40.0,50.0,5.5,6.5,15.0,25.0,60.0,70.0,500.0,700.0,50.0,60.0,kharif/rabi
Pisum Sativ.,loamy,20.0,30.0,50.0,60.0,40.0,50.0,6.0,7.5,15.0,20.0,50.0,60.0,400.0,600.0,40.0,50.0,rabi
Zingiber Of.,loamy,75.0,100.0,50.0,75.0,50.0,75.0,5.5,6.5,25.0,30.0,70.0,90.0,1500.0,2000.0,60.0,70.0,kharif
Curcuma Lon.,loamy,120.0,150.0,50.0,60.0,90.0,120.0,4.5,7.5,20.0,35.0,70.0,90.0,1500.0,2200.0,60.0,70.0,kharif
Piper Nigrum,red_laterite,100.0,120.0,40.0,50.0,120.0,140.0,5.5,6.5,20.0,30.0,70.0,90.0,2000.0,3000.0,70.0,80.0,year_round
Elettaria C.,peaty,75.0,100.0,75.0,100.0,150.0,200.0,5.0,6.5,15.0,25.0,75.0,90.0,1500.0,4000.0,70.0,80.0,year_round
Syzygium Ar.,clay_loam,200.0,250.0,200.0,250.0,400.0,500.0,5.5,7.0,20.0,30.0,70.0,80.0,1500.0,2500.0,60.0,70.0,year_round
Myristica F.,clay_loam,200.0,250.0,100.0,150.0,200.0,250.0,6.0,7.0,20.0,30.0,70.0,80.0,1500.0,2500.0,60.0,70.0,year_round
Cinnamomum V,red_laterite,200.0,250.0,100.0,150.0,100.0,150.0,5.0,6.5,20.0,30.0,70.0,80.0,1500.0,2500.0,60.0,70.0,year_round
Cuminum Cym.,sandy_loam,30.0,40.0,20.0,30.0,15.0,20.0,7.0,8.0,15.0,25.0,40.0,50.0,200.0,300.0,30.0,40.0,rabi
Foeniculum V,loamy,60.0,80.0,40.0,50.0,40.0,50.0,6.5,8.0,15.0,25.0,40.0,50.0,300.0,500.0,30.0,40.0,rabi
Brassica Jun,loamy,60.0,80.0,30.0,40.0,30.0,40.0,6.0,7.5,15.0,25.0,40.0,50.0,300.0,450.0,30.0,40.0,rabi
Jasminum S.,sandy_loam,100.0,120.0,100.0,120.0,100.0,120.0,6.0,7.0,25.0,35.0,60.0,70.0,800.0,1000.0,50.0,60.0,year_round
Jasminum A.,sandy,100.0,120.0,100.0,120.0,100.0,120.0,6.0,7.0,25.0,35.0,60.0,70.0,800.0,1000.0,50.0,60.0,year_round
